qseqid,sample,pmatch_gsnap,pmatch_rapsearch,qlength,step_change,other_blast_contigs,blast_hits_gsnap_acc,blast_hits_gsnap_taxid,blast_hits_gsnap_lca,blast_hits_rapsearch_acc,blast_hits_rapsearch_taxid,blast_hits_rapsearch_lca,short,low_depth,blast_gsnap_ntax,blast_rapsearch_ntax,kingdom_gsnap,kingdom_rapsearch,taxid,kingdom,scientific_name,rank,Division,Genus,CommonName,cov
NODE_377_length_354_cov_327.101083,CMS002_046a_Rb_S191_L004,0.9943502824858758,0.5988700564971752,354,False,855,"[""'AE017196.1'"", "" 'AM999887.1'"", "" 'AP013028.1'"", "" 'CP003883.1'"", "" 'CP015510.2'""]","['163164', ' 570417', ' 246273', ' 1236908', ' 169402']",953,"[""'AAU03684.1'"", "" 'EEG43412.1'"", "" 'EHM73188.1'""]","['257363', ' 487797', ' 1000590']",2,False,False,5,3,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,327.101083
NODE_259_length_425_cov_2.097701,CMS002_046a_Rb_S191_L004,0.9929411764705882,0.9858823529411764,425,False,653,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_019236867.1'"", "" 'WP_029237629.1'"", "" 'WP_108783927.1'""]","['955', ' 180837', ' 215173']",953,False,False,1,3,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.097701
NODE_56_length_793_cov_3.252793,CMS002_046a_Rb_S191_L004,0.9987389659520808,0.9659520807061792,793,False,963,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'AKS26203.1'"", "" 'WP_006014700.1'"", "" 'WP_017532118.1'"", "" 'WP_063630644.1'"", "" 'WP_068652478.1'""]","['169402', ' 955', ' 116598', ' 368602', ' 125593']",953,False,False,2,5,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,3.252793
NODE_29_length_1052_cov_2.245128,CMS002_046a_Rb_S191_L004,0.9990494296577946,0.994296577946768,1052,False,955,"[""'AE017196.1'"", "" 'AM999887.1'"", "" 'CP001391.1'"", "" 'CP003883.1'"", "" 'CP003884.1'""]","['163164', ' 570417', ' 66084', ' 1236908', ' 1236909']",953,"[""'WP_015587867.1'"", "" 'WP_026097278.1'"", "" 'WP_095742604.1'"", "" 'WP_096560635.1'"", "" 'WP_108784499.1'""]","['77038', ' 955', ' 77038', ' 955', ' 215173']",953,False,False,5,4,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.245128
NODE_183_length_500_cov_367.605201,CMS002_046a_Rb_S191_L004,0.998,0.998,500,False,782,"[""'AE017196.1'"", "" 'AM999887.1'"", "" 'CP001391.1'"", "" 'CP011148.1'"", "" 'LK055284.1'""]","['163164', ' 570417', ' 66084', ' 1633785', ' 225364']",953,"[""'CAJ30047.1'""]",['431944'],431944,False,False,5,1,Bacteria,Bacteria,431944,Bacteria,Magnetospirillum gryphiswaldense MSR-1,no rank,a-proteobacteria,Magnetospirillum,NA,367.605201
NODE_434_length_332_cov_2.019608,CMS002_046a_Rb_S191_L004,0,0.5993975903614458,332,False,19,[],[],NA,"[""'WP_019236607.1'""]",['955'],955,False,False,0,1,NA,Bacteria,955,Bacteria,Wolbachia pipientis,species,a-proteobacteria,Wolbachia,NA,2.019608
NODE_273_length_417_cov_3.797059,CMS002_046a_Rb_S191_L004,0.9976019184652278,0.8896882494004796,417,False,991,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_015587929.1'""]",['77038'],77038,False,False,2,1,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,3.797059
NODE_381_length_353_cov_2.362319,CMS002_046a_Rb_S191_L004,0,0.4164305949008499,353,False,26,[],[],NA,"[""'XP_019954527.1'""]",['8255'],8255,False,False,0,1,NA,Chordata,8255,Chordata,Paralichthys olivaceus,species,bony fishes,Paralichthys,Japanese flounder,2.362319
NODE_699_length_259_cov_2.373626,CMS002_046a_Rb_S191_L004,0.996138996138996,0.9922779922779924,259,False,828,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_019236326.1'"", "" 'WP_064085938.1'"", "" 'WP_096097191.1'""]","['955', ' 1605993', ' 955']",953,True,False,1,3,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.373626
NODE_42_length_921_cov_569.774882,CMS002_046a_Rb_S191_L004,0.986970684039088,0.5906623235613464,921,False,789,"[""'AM999887.1'"", "" 'CP003883.1'"", "" 'CP011148.1'"", "" 'KT273261.1'"", "" 'LK055284.1'""]","['570417', ' 1236908', ' 1633785', ' 1695167', ' 225364']",953,"[""'EOB10733.1'""]",['1290429'],1290429,False,False,5,1,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,569.774882
NODE_161_length_526_cov_62.766147,CMS002_046a_Rb_S191_L004,0.988593155893536,0.8193916349809885,526,False,940,"[""'AE017196.1'"", "" 'AM999887.1'"", "" 'CP003883.1'"", "" 'CP003884.1'"", "" 'CP011148.1'""]","['163164', ' 570417', ' 1236908', ' 1236909', ' 1633785']",953,"[""'ENV71128.1'""]",['1120929'],1120929,False,False,5,1,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,62.766147
NODE_27_length_1070_cov_3.201410,CMS002_046a_Rb_S191_L004,0.09043140186915888,0.5401869158878505,1070,False,69,"[""'AP013028.1'""]",['246273'],246273,"[""'WP_114517346.1'""]",['118728'],118728,False,False,1,1,Bacteria,Bacteria,118728,Bacteria,Wolbachia endosymbiont of Cylisticus convexus,species,a-proteobacteria,Wolbachia,NA,3.201410
NODE_456_length_321_cov_2.262295,CMS002_046a_Rb_S191_L004,0.9968847352024922,0,321,False,915,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,[],[],0,False,False,2,0,Bacteria,NA,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.262295
NODE_165_length_518_cov_2.183673,CMS002_046a_Rb_S191_L004,0,0.5386100386100386,518,False,6,[],[],NA,"[""'CAQ54838.1'"", "" 'WP_019236737.1'""]","['570417', ' 955']",953,False,False,0,2,NA,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.183673
NODE_326_length_383_cov_2.732026,CMS002_046a_Rb_S191_L004,0.9973890339425588,0.8015665796344648,383,False,206,"[""'AP018933.1'""]",['33074'],33074,"[""'EFS54330.1'""]",['765091'],765091,False,False,1,1,Bacteria,Bacteria,33074,Bacteria,Zymobacter palmae,species,g-proteobacteria,Zymobacter,NA,2.732026
NODE_54_length_804_cov_2.804677,CMS002_046a_Rb_S191_L004,0,0.17786069651741293,804,False,7,[],[],NA,"[""'WP_010402569.1'"", "" 'WP_019236677.1'""]","['180837', ' 955']",953,False,False,0,2,NA,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.804677
NODE_224_length_463_cov_2.834197,CMS002_046a_Rb_S191_L004,1,0.9956803455723542,463,False,444,"[""'AM999887.1'""]",['570417'],570417,"[""'WP_064085422.1'"", "" 'WP_096097259.1'""]","['1605993', ' 955']",953,False,False,1,2,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,2.834197
NODE_215_length_473_cov_2.643939,CMS002_046a_Rb_S191_L004,0,0.13742071881606766,473,False,17,[],[],NA,"[""'EEB55620.1'"", "" 'WP_017532152.1'"", "" 'WP_019236679.1'"", "" 'WP_029237614.1'"", "" 'WP_064085864.1'""]","['569881', ' 116598', ' 955', ' 180837', ' 1605993']",953,False,False,0,5,NA,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.643939
NODE_486_length_307_cov_2.160870,CMS002_046a_Rb_S191_L004,0.996742671009772,0.8664495114006515,307,False,933,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'WP_068651640.1'"", "" 'WP_108784076.1'""]","['125593', ' 215173']",953,False,False,2,2,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,2.160870
NODE_116_length_602_cov_8.931429,CMS002_046a_Rb_S191_L004,0.9966777408637874,0.8255813953488372,602,False,649,"[""'AM999887.1'""]",['570417'],570417,"[""'CQD08210.1'"", "" 'EEB55569.1'""]","['1402163', ' 569881']",953,False,False,1,2,Bacteria,Bacteria,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,8.931429
NODE_474_length_312_cov_3.106383,CMS002_046a_Rb_S191_L004,0.9967948717948718,0.6698717948717948,312,False,865,"[""'AM999887.1'"", "" 'CP003883.1'""]","['570417', ' 1236908']",953,"[""'CAQ54311.1'""]",['570417'],570417,False,False,2,1,Bacteria,Bacteria,953,Bacteria,Wolbachia,genus,a-proteobacteria,NA,NA,3.106383
NODE_428_length_333_cov_3.421875,CMS002_046a_Rb_S191_L004,0.6924754354354353,0.9429429429429428,333,False,229,"[""'CP003883.1'""]",['1236908'],1236908,"[""'EEB55203.1'""]",['569881'],569881,False,False,1,1,Bacteria,Bacteria,569881,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus JHB,no rank,a-proteobacteria,Wolbachia,NA,3.421875
NODE_391_length_348_cov_3.025830,CMS002_046a_Rb_S191_L004,0.9942528735632185,0.08086597701149427,348,False,963,"[""'AM999887.1'""]",['570417'],570417,"[""'YP_009177721.1'""]",['1608133'],1608133,False,False,1,1,Bacteria,Viruses,570417,Bacteria,Wolbachia endosymbiont of Culex quinquefasciatus Pel,no rank,a-proteobacteria,Wolbachia,NA,3.025830
