sample,qseqid
CMS002_046a_Rb_S191_L004,NODE_377_length_354_cov_327.101083
CMS002_046a_Rb_S191_L004,NODE_259_length_425_cov_2.097701
CMS002_046a_Rb_S191_L004,NODE_56_length_793_cov_3.252793
CMS002_046a_Rb_S191_L004,NODE_29_length_1052_cov_2.245128
CMS002_046a_Rb_S191_L004,NODE_183_length_500_cov_367.605201
CMS002_046a_Rb_S191_L004,NODE_434_length_332_cov_2.019608
CMS002_046a_Rb_S191_L004,NODE_5_length_1861_cov_6.007287
CMS002_046a_Rb_S191_L004,NODE_273_length_417_cov_3.797059
CMS002_046a_Rb_S191_L004,NODE_381_length_353_cov_2.362319
CMS002_046a_Rb_S191_L004,NODE_699_length_259_cov_2.373626
CMS002_046a_Rb_S191_L004,NODE_8_length_1655_cov_7.837769
CMS002_046a_Rb_S191_L004,NODE_42_length_921_cov_569.774882
CMS002_046a_Rb_S191_L004,NODE_161_length_526_cov_62.766147
CMS002_046a_Rb_S191_L004,NODE_27_length_1070_cov_3.201410
CMS002_046a_Rb_S191_L004,NODE_456_length_321_cov_2.262295
CMS002_046a_Rb_S191_L004,NODE_165_length_518_cov_2.183673
CMS002_046a_Rb_S191_L004,NODE_326_length_383_cov_2.732026
CMS002_046a_Rb_S191_L004,NODE_54_length_804_cov_2.804677
CMS002_046a_Rb_S191_L004,NODE_224_length_463_cov_2.834197
CMS002_046a_Rb_S191_L004,NODE_215_length_473_cov_2.643939
CMS002_046a_Rb_S191_L004,NODE_486_length_307_cov_2.160870
CMS002_046a_Rb_S191_L004,NODE_4_length_2102_cov_3.303210
CMS002_046a_Rb_S191_L004,NODE_116_length_602_cov_8.931429
CMS002_046a_Rb_S191_L004,NODE_474_length_312_cov_3.106383
CMS002_046a_Rb_S191_L004,NODE_428_length_333_cov_3.421875
CMS002_046a_Rb_S191_L004,NODE_391_length_348_cov_3.025830
CMS002_046a_Rb_S191_L004,NODE_442_length_328_cov_2.035857
CMS002_046a_Rb_S191_L004,NODE_241_length_446_cov_2.032520
CMS002_046a_Rb_S191_L004,NODE_21_length_1231_cov_26.481802
CMS002_046a_Rb_S191_L004,NODE_426_length_335_cov_2.104651
CMS002_046a_Rb_S191_L004,NODE_2_length_3148_cov_495.439596
CMS002_046a_Rb_S191_L004,NODE_700_length_259_cov_2.005495
CMS002_046a_Rb_S191_L004,NODE_49_length_842_cov_201.584314
CMS002_046a_Rb_S191_L004,NODE_266_length_419_cov_2.347953
CMS002_046a_Rb_S191_L004,NODE_276_length_415_cov_2.159763
CMS002_046a_Rb_S191_L004,NODE_576_length_275_cov_2.010101
CMS002_046a_Rb_S191_L004,NODE_18_length_1261_cov_3.813345
CMS002_046a_Rb_S191_L004,NODE_583_length_274_cov_2.223350
CMS002_046a_Rb_S191_L004,NODE_11_length_1517_cov_3.911806
CMS002_046a_Rb_S191_L004,NODE_94_length_667_cov_2.159322
CMS002_046a_Rb_S191_L004,NODE_496_length_302_cov_2.271111
CMS002_046a_Rb_S191_L004,NODE_105_length_633_cov_2.491007
CMS002_046a_Rb_S191_L004,NODE_429_length_333_cov_2.281250
CMS002_046a_Rb_S191_L004,NODE_24_length_1191_cov_4.845601
CMS002_046a_Rb_S191_L004,NODE_750_length_254_cov_22.316384
CMS001_007_Ra_S12,NODE_2_length_2928_cov_5.991582
CMS001_007_Ra_S12,NODE_366_length_515_cov_2.143836
CMS001_007_Ra_S12,NODE_22_length_1616_cov_5.681611
CMS001_007_Ra_S12,NODE_30_length_1427_cov_3.657037
CMS001_007_Ra_S12,NODE_28_length_1433_cov_3.179941
CMS001_007_Ra_S12,NODE_10_length_2024_cov_2.039034
CMS001_007_Ra_S12,NODE_9_length_2061_cov_3.845766
CMS001_007_Ra_S12,NODE_39_length_1195_cov_3.347943
CMS001_007_Ra_S12,NODE_1124_length_351_cov_7.759124
CMS001_007_Ra_S12,NODE_4_length_2665_cov_4.294049
CMS001_007_Ra_S12,NODE_1026_length_365_cov_2.947917
CMS001_007_Ra_S12,NODE_50_length_1020_cov_4.608696
CMS001_007_Ra_S12,NODE_471_length_473_cov_3.285354
CMS001_007_Ra_S12,NODE_25_length_1569_cov_4.679625
CMS001_007_Ra_S12,NODE_864_length_386_cov_4.177994
CMS001_007_Ra_S12,NODE_14_length_1901_cov_7.720943
CMS001_007_Ra_S12,NODE_1886_length_277_cov_3.125000
CMS001_007_Ra_S12,NODE_41_length_1139_cov_7.475518
CMS001_007_Ra_S12,NODE_48_length_1025_cov_6.170886
CMS001_007_Ra_S12,NODE_1_length_3832_cov_5.467377
CMS001_007_Ra_S12,NODE_26_length_1448_cov_3.390956
CMS001_007_Ra_S12,NODE_1142_length_349_cov_2.147059
CMS001_007_Ra_S12,NODE_18_length_1752_cov_3.681791
