Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >LIHLNHBE_00001 hypothetical protein	superfamily	356817	8	223	2.3771e-17	82.134	cl29941	Viral_coat superfamily	C	 - 
Q#2 - >LIHLNHBE_00002 hypothetical protein	superfamily	334340	80	458	1.18776e-49	176.265	cl24119	RdRP_3 superfamily	 - 	 - 
Q#3 - >LIHLNHBE_00003 hypothetical protein	superfamily	236090	112	318	5.1557e-06	49.2141	cl35613	PRK07764 superfamily	N	 - 
Q#4 - >LIHLNHBE_00004 hypothetical protein	specific	338070	602	680	0.0051581	39.6647	pfam11705	RNA_pol_3_Rpc31	C	cl13200
Q#6 - >LIHLNHBE_00006 hypothetical protein	superfamily	310384	1	40	6.83341e-08	45.4136	cl05345	Tenui_N superfamily	NC	 - 
Q#15 - >LIHLNHBE_00015 hypothetical protein	specific	238843	2736	3060	4.85719e-45	165.534	cd01699	RNA_dep_RNAP	 - 	cl02808
Q#15 - >LIHLNHBE_00015 hypothetical protein	specific	119412	703	897	5.14181e-18	83.9848	cd00205	rhv_like	 - 	cl13999
Q#15 - >LIHLNHBE_00015 hypothetical protein	specific	279280	1665	1775	4.24478e-11	61.8681	pfam00910	RNA_helicase	 - 	cl21455
Q#20 - >LIHLNHBE_00020 hypothetical protein	superfamily	293113	22	147	0.000165751	39.2084	cl24916	SP24 superfamily	 - 	 - 
Q#21 - >LIHLNHBE_00021 hypothetical protein	superfamily	295487	1	107	3.83578e-16	80.1971	cl02808	RT_like superfamily	N	 - 
Q#33 - >LIHLNHBE_00033 hypothetical protein	superfamily	313790	515	618	0.002666	39.4916	cl20090	Cytochrome-c551 superfamily	C	 - 
Q#34 - >LIHLNHBE_00034 hypothetical protein	superfamily	307203	337	1005	1.59755e-60	227.588	cl15638	Mononeg_RNA_pol superfamily	N	 - 
Q#34 - >LIHLNHBE_00034 hypothetical protein	superfamily	316808	1047	1245	6.27597e-15	76.2643	cl16796	Mononeg_mRNAcap superfamily	 - 	 - 
Q#34 - >LIHLNHBE_00034 hypothetical protein	superfamily	332632	1181	1846	6.56928e-09	60.9706	cl27811	G-7-MTase superfamily	 - 	 - 
Q#46 - >LIHLNHBE_00046 hypothetical protein	specific	250270	2803	3225	4.65865e-101	333.073	pfam00978	RdRP_2	 - 	cl03049
Q#46 - >LIHLNHBE_00046 hypothetical protein	specific	307550	2384	2646	1.59417e-30	121.714	pfam01443	Viral_helicase1	 - 	cl26263
Q#46 - >LIHLNHBE_00046 hypothetical protein	superfamily	307679	185	461	5.94577e-21	96.2033	cl03298	Vmethyltransf superfamily	 - 	 - 
Q#46 - >LIHLNHBE_00046 hypothetical protein	specific	334653	984	1136	6.83988e-11	63.3702	pfam01728	FtsJ	 - 	cl17173
Q#46 - >LIHLNHBE_00046 hypothetical protein	superfamily	223021	1209	1378	6.49378e-08	58.7965	cl33720	PHA03247 superfamily	N	 - 
Q#47 - >LIHLNHBE_00047 hypothetical protein	superfamily	307047	57	190	9.12355e-07	46.8525	cl20208	TMV_coat superfamily	 - 	 - 
Q#48 - >LIHLNHBE_00048 hypothetical protein	superfamily	283451	50	821	2.18683e-37	153.328	cl12314	Orbi_VP1 superfamily	C	 - 
Q#49 - >LIHLNHBE_00049 hypothetical protein	superfamily	283451	5	1297	0	1199.53	cl12314	Orbi_VP1 superfamily	 - 	 - 
Q#50 - >LIHLNHBE_00050 hypothetical protein	superfamily	282383	14	182	5.59657e-18	84.4067	cl04557	BTV_NS2 superfamily	C	 - 
