Sample	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	mismatches	uncertainty	depth	maxMAF	ADC_Bla	AMPH_Ecoli_Bla	Aac3-IIa_AGly	Aac3-I_AGly	Aac3-Iva_AGly	Aac6-32_AGly	Aac6-33_AGly	Aac6-IIc_AGly	Aac6-Iaf_AGly	AacAad_AGly	AadA4-5_AGly	AadA_AGly	AadB_AGly	AmpC1_Ecoli_Bla	AmpC2_Ecoli_Bla	AmpH_Bla	Aph3''Ia_AGly	Aph4-Ia_AGly	AphA6_AGly	ArmA_AGly	Arr_Rif	BlaA1_Bla	BlaA2_Bla	CMY_Bla	CTX-M-1_Bla	CTX-M-9_Bla	CatA1_Phe	CatA2_Phe	CatBx_Phe	CmlA_Phe	DHA_Bla	DfrA1_Tmt	DfrA27_Tmt	DfrA5_Tmt	DfrA7_Tmt	DfrA8_Tmt	DfrA_Tmt	DfrB_Tmt	EreA_MLS	Erm42_MLS	ErmB_MLS	ErmC_MLS	FloR_Phe	FosA_Fcyn	IMP-1_Bla	KPC-1_Bla	LAP_Bla	Mbl_Bla	MphA_MLS	MphE_MLS	MrdA_Bla	MsrE_MLS	NDM-1_Bla	OXA-1_Bla	OXA-237_Bla	OXA-2_Bla	OXA-48_Bla	OXA-51_Bla	OXA-7_Bla	OXA-9_Bla	OqxA_Flq	OqxB_Flq	Qnr-A_Flq	Qnr-S_Flq	QnrB_Flq	RmtB_AGly	RmtC_AGly	RmtF_AGly	SHV-OKP-LEN_Bla	Sat-2A_AGly	StrA_AGly	StrB_AGly	SulIII_Sul	SulII_Sul	SulI_Sul	TEM-1D_Bla	TetA_Tet	TetB_Tet	TetC_Tet	TetD_Tet	VIM-1_Bla	Zn-dependent_hydrolase_Bla
15AC0001938_1	NF*	3	3	1	1	248*	1	79	phoE_248/1snp	-	61.6551428571	0.274509803922	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677*	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	-	TEM-105_956*	-	-	-	-	-	-
16AC0006505_1	NF	3	3	1	1	1	1	-	0	-	33.2556666667	0.321428571429	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044*	OqxB_49	-	-	QnrB35_28*	-	-	-	SHV-11_1287*?	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
16AC0012813_1	258	3	3	1	1	1	1	79	0	-	64.2925714286	0.247524752475	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA12_1600*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-148_997*	-	-	-	-	-	-
16AC1610580_1	258	3	3	1	1	1	1	79	0	-	26.0605714286	0.175	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	-	-	-	-	-	-	-	-	SHV-11_1287	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-90_943*	-	-	-	-	-	-
17AC0003388_1	258	3	3	1	1	1	1	79	0	-	42.675	0.239436619718	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA15_1602*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-98_951*?	-	-	-	-	-	-
17AC0003535_1	258	3	3	1	1	1	1	79	0	-	47.4918571429	0.316326530612	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-150_999*	-	-	-	-	-	-
17AC0003536_1	258?	3	3	1	1	1	1	79?	0	tonB_79/edge2.0	57.9621428571	0.255813953488	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-141_990*	-	-	-	-	-	-
17AC0003592_1	258	3	3	1	1	1	1	79	0	-	20.7508571429	0.333333333333	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044*	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287*?	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-168_1015*	-	-	-	-	-	-
17AC0003819_1	16	2	1	2	1	4	4	4	0	-	30.091	0.166666666667	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	OXA-1_520*	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
17AC0005047_1	258	3	3	1	1	1	1	79	0	-	50.3591428571	0.220588235294	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-141_990*	-	-	-	-	-	-
