CMS001_009,NODE_19969_length_232_cov_0.741935
CMS001_004,NODE_1_length_3148_cov_123.031911
CMS001_002,NODE_7_length_3150_cov_193.138301
CMS001_028,NODE_3_length_3130_cov_28.188012
CMS001_028,NODE_3746_length_247_cov_1.135294
CMS001_029,NODE_2_length_3151_cov_424.830514
CMS001_030,NODE_2_length_3154_cov_116.249919
CMS001_030,NODE_759_length_244_cov_0.874251
CMS001_030,NODE_745_length_245_cov_0.869048
CMS001_034,NODE_4_length_3150_cov_270.617963
CMS001_036,NODE_5_length_3134_cov_66.032712
CMS001_038,NODE_7_length_3138_cov_60.482849
CMS001_040,NODE_5_length_3145_cov_135.722295
CMS001_041,NODE_3_length_3137_cov_114.780719
CMS001_042,NODE_4_length_3148_cov_206.454575
CMS001_044,NODE_5_length_3184_cov_44.723206
CMS001_019,NODE_8_length_3132_cov_162.359411
CMS001_037,NODE_3_length_3152_cov_73.860813
CMS001_018,NODE_8_length_3147_cov_31.853094
CMS001_022,NODE_5_length_3123_cov_37.561392
CMS001_011,NODE_6_length_3151_cov_188.837671
CMS001_051,NODE_6_length_3158_cov_114.154820
CMS001_054,NODE_1_length_3107_cov_26.888119
CMS001_035,NODE_13_length_3154_cov_92.627234
CMS001_059,NODE_4_length_3154_cov_48.444264
CMS001_water3_Qiagen_S26,NODE_4_length_3003_cov_3.198223
CMS001_water3_Qiagen_S26,NODE_795_length_343_cov_1.360902
CMS001_water3_Qiagen_S26,NODE_3519_length_253_cov_0.755682
CMS002_001a,NODE_1_length_3148_cov_328.765549
CMS001_023,NODE_4_length_3140_cov_197.935684
CMS002_022a,NODE_5_length_3164_cov_273.961451
CMS002_025e,NODE_178_length_249_cov_0.848837
CMS002_023a,NODE_5_length_3164_cov_582.525105
CMS002_028a,NODE_2075_length_319_cov_0.904959
CMS002_027a,NODE_1_length_3148_cov_255.684142
CMS002_027b,NODE_2_length_3161_cov_1200.155966
CMS002_028a,NODE_2776_length_277_cov_1.095000
CMS002_028a,NODE_2878_length_274_cov_1.340102
CMS002_029c,NODE_7_length_3148_cov_190.115272
CMS001_048,NODE_7_length_3112_cov_21.716310
CMS002_029d,NODE_7_length_3160_cov_829.042167
CMS002_046a,NODE_2_length_3148_cov_495.439596
CMS002_046b,NODE_1_length_3152_cov_757.424065
CMS001_045,NODE_3_length_3144_cov_29.941311
CMS002_046b,NODE_38_length_1206_cov_4.790080
CMS001_047,NODE_3_length_3151_cov_50.828887
CMS001_052,NODE_2_length_3143_cov_64.833986
CMS002_051a,NODE_5_length_3137_cov_140.784641
CMS001_058,NODE_5_length_3140_cov_71.370878
CMS002_047a,NODE_14_length_3154_cov_138.320442
CMS002_047j,NODE_5_length_3164_cov_625.481697
CMS002_047f,NODE_7_length_3159_cov_111.901363
CMS002_028d,NODE_7_length_3160_cov_703.749270
CMS002_028e,NODE_15_length_3158_cov_1037.473872
CMS002_053a,NODE_52_length_3158_cov_354.941577
